day,tag,0,0_v1,0
2018-01-24,14,2018-01-24 01:44:09,02:44:30,2018-01-24 02:44:33
2018-01-24,17,2018-01-24 02:55:30,01:38:40,2018-01-24 03:02:40
2018-01-24,20,2018-01-24 03:24:51,05:44:35,2018-01-24 03:25:51
2018-01-24,21,2018-01-24 01:24:52,01:16:45,2018-01-24 01:19:47
2018-01-24,22,2018-01-24 08:01:55,07:33:40,2018-01-24 08:02:20
2018-01-24,23,undefined,06:07:15,2018-01-24 07:52:58
2018-01-24,24,2018-01-24 00:31:32,06:05:55,2018-01-24 06:04:53
2018-01-24,25,undefined,08:08:00,undefined
2018-01-24,26,2018-01-24 08:08:21,08:07:45,2018-01-24 08:08:21
2018-01-24,27,2018-01-24 05:51:06,03:00:40,2018-01-24 01:41:59
2018-01-24,28,2018-01-24 05:27:04,05:18:30,2018-01-24 05:27:04
2018-01-24,29,2018-01-24 07:53:42,07:53:25,2018-01-24 08:41:47
2018-01-24,30,2018-01-24 07:03:13,06:51:30,2018-01-24 07:46:27
2018-01-24,31,2018-01-24 06:18:31,06:12:25,2018-01-24 06:14:15
2018-01-24,32,2018-01-24 05:25:06,05:03:55,2018-01-24 05:29:42
2018-01-24,33,2018-01-24 04:06:37,04:07:10,2018-01-24 06:34:03
2018-01-24,34,2018-01-24 07:53:34,07:53:30,2018-01-24 08:51:33
2018-01-25,14,2018-01-25 00:58:53,05:20:05,2018-01-25 06:29:24
2018-01-25,17,2018-01-25 03:53:05,02:31:15,2018-01-25 05:34:08
2018-01-25,20,2018-01-25 00:56:37,01:33:10,2018-01-25 08:36:23
2018-01-25,21,2018-01-25 02:29:28,02:29:25,2018-01-25 02:29:33
2018-01-25,22,2018-01-25 06:45:39,06:00:50,2018-01-25 06:45:39
2018-01-25,23,undefined,06:02:15,undefined
2018-01-25,24,2018-01-25 03:35:55,01:16:45,2018-01-25 06:05:05
2018-01-25,25,2018-01-25 08:04:52,08:59:50,2018-01-25 06:55:10
2018-01-25,26,2018-01-25 08:12:04,08:02:40,2018-01-25 08:13:04
2018-01-25,27,2018-01-25 03:13:29,03:13:40,2018-01-25 05:58:59
2018-01-25,28,2018-01-25 06:08:05,06:07:00,2018-01-25 06:10:50
2018-01-25,29,2018-01-25 08:04:50,08:00:25,2018-01-25 08:54:53
2018-01-25,30,2018-01-25 08:07:14,06:27:15,2018-01-25 06:57:36
2018-01-25,31,2018-01-25 06:04:09,06:00:45,2018-01-25 06:01:31
2018-01-25,32,2018-01-25 05:57:23,05:31:15,2018-01-25 07:34:30
2018-01-25,33,2018-01-25 05:52:21,00:50:45,2018-01-25 05:52:51
2018-01-25,34,2018-01-25 07:54:07,06:19:25,2018-01-25 08:25:01
